,Main_sector,new_permalink,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,founded_at,Primary_sector,total_count,total_amount_invested
545,Cleantech / Semiconductors,/organization/ actimis-pharmaceuticals,/organization/actimis-pharmaceuticals,/funding-round/3f635ae50ccccb638778af3f0e1a7ec3,venture,NA,6/6/2008,9600000.00,/Organization/Actimis-Pharmaceuticals,Actimis Pharmaceuticals,http://www.actimis.com,Biotechnology,acquired,USA,CA,San Diego,San Diego,NA,Biotechnology,1950,17796003033
546,Cleantech / Semiconductors,/organization/ gamma-medica,/organization/gamma-medica,/funding-round/53e63a2fbc2d888e19d32f2dd81da4cb,venture,B,22-10-2014,11500000.00,/Organization/Gamma-Medica,Gamma Medica,http://www.gammamedica.com,Biotechnology,operating,USA,NH,"Manchester, New Hampshire",Salem,1/1/1997,Biotechnology,1950,17796003033
547,Cleantech / Semiconductors,/organization/ bacterial-barcodes,/organization/bacterial-barcodes,/funding-round/ee567c1c39aec20d3d8f2e770c1b8b75,venture,C,12/2/2003,6000000.00,/Organization/Bacterial-Barcodes,Bacterial Barcodes,http://www.bacterialbarcodes.com,Biotechnology,acquired,USA,TX,Houston,Houston,NA,Biotechnology,1950,17796003033
548,Cleantech / Semiconductors,/organization/ nd-acquisitions,/organization/nd-acquisitions,/funding-round/a331ad8b676c7fd03785d8140ed7f5b6,venture,NA,11/7/2014,11031858.00,/Organization/Nd-Acquisitions,ND Acquisitions,NA,Biotechnology,operating,USA,TN,Nashville,Nashville,NA,Biotechnology,1950,17796003033
549,Cleantech / Semiconductors,/organization/ semprius,/organization/semprius,/funding-round/7ef7058bc3bd626cd78a7b97330540ad,venture,NA,28-01-2012,7500000.00,/Organization/Semprius,Semprius,http://www.semprius.com,Clean Technology|Solar,operating,USA,NC,Raleigh,Durham,1/1/2005,Clean Technology,1950,17796003033
550,Cleantech / Semiconductors,/organization/ bacterioscan,/ORGANIZATION/BACTERIOSCAN,/funding-round/003bc7d90c4c6c220c9ad8406a3702d2,venture,NA,20-05-2013,5720000.00,/Organization/Bacterioscan,Bacterioscan,http://bacterioscan.com,Biotechnology,operating,USA,MO,St. Louis,St Louis,1/1/2004,Biotechnology,1950,17796003033
551,Cleantech / Semiconductors,/organization/ cardiodx,/organization/cardiodx,/funding-round/6c9e460b69f890a63eb3cb2a7dd79afe,venture,D,3/7/2015,5000008.00,/Organization/Cardiodx,CardioDx,http://www.cardiodx.com,Biotechnology|Health Diagnostics,operating,USA,CA,SF Bay Area,Palo Alto,1/1/2004,Biotechnology,1950,17796003033
552,Cleantech / Semiconductors,/organization/ synapsense,/organization/synapsense,/funding-round/8407029789cbda0bc2d4e8658bb6f6db,venture,B,10/9/2007,11000000.00,/Organization/Synapsense,SynapSense,http://www.synapsense.com,Clean Technology|Data Centers|Green|Sensors|Web Hosting|Wireless,acquired,USA,CA,Sacramento,Folsom,1/6/2006,Clean Technology,1950,17796003033
553,Cleantech / Semiconductors,/organization/ quality-systems,/ORGANIZATION/QUALITY-SYSTEMS,/funding-round/5d43a8e76ad8266948249a229cacb410,venture,NA,12/2/2010,12000000.00,/Organization/Quality-Systems,Quality Systems,http://www.qsii.com,Biotechnology,ipo,USA,CA,Anaheim,Irvine,1/1/1974,Biotechnology,1950,17796003033
554,Cleantech / Semiconductors,/organization/ s5-wireless,/ORGANIZATION/S5-WIRELESS,/funding-round/5c68594afda97a4df4822a1ac973d2b7,venture,B,14-09-2006,11500000.00,/Organization/S5-Wireless,S5 Wireless,NA,Semiconductors,acquired,USA,UT,Salt Lake City,Sandy,1/1/2003,Semiconductors,1950,17796003033
